neurons,activation,batch_size,opt,hops,score1,score2
16,relu,8,SGD,10,0.8289473684210527,0.9708704592186429
16,relu,8,SGD,20,0.8377192982456141,0.9666437414030261
16,relu,8,SGD,30,0.8114035087719298,0.966183574879227
16,relu,16,SGD,10,0.793859649122807,0.9660726525017135
16,relu,16,SGD,20,0.793859649122807,0.96939477303989
16,relu,16,SGD,30,0.8026315789473685,0.966183574879227
16,relu,32,SGD,10,0.7675438596491229,0.9653872515421522
16,relu,32,SGD,20,0.8201754385964912,0.9656121045392022
16,relu,32,SGD,30,0.7675438596491229,0.9616977225672878
16,relu,8,Adam,10,0.8114035087719298,0.9633310486634681
16,relu,8,Adam,20,0.8245614035087719,0.9704264099037139
16,relu,8,Adam,30,0.8157894736842105,0.9696342305037957
16,relu,16,Adam,10,0.8026315789473685,0.9650445510623715
16,relu,16,Adam,20,0.868421052631579,0.9645804676753783
16,relu,16,Adam,30,0.793859649122807,0.966183574879227
16,relu,32,Adam,10,0.7807017543859649,0.9633310486634681
16,relu,32,Adam,20,0.7719298245614035,0.9638927097661623
16,relu,32,Adam,30,0.793859649122807,0.9641131815044859
16,relu,8,RMSprop,10,0.7894736842105263,0.9609321453050035
16,relu,8,RMSprop,20,0.8947368421052632,0.9508253094910591
16,relu,8,RMSprop,30,0.8771929824561403,0.9465148378191857
16,relu,16,RMSprop,10,0.7850877192982456,0.9592186429061
16,relu,16,RMSprop,20,0.7850877192982456,0.9635488308115543
16,relu,16,RMSprop,30,0.8070175438596491,0.9572118702553485
16,relu,32,RMSprop,10,0.7763157894736842,0.957162440027416
16,relu,32,RMSprop,20,0.7807017543859649,0.9642365887207703
16,relu,32,RMSprop,30,0.7894736842105263,0.9620427881297446
16,relu,8,Adadelta,10,0.75,0.18437285812200138
16,relu,8,Adadelta,20,0.29385964912280704,0.5852819807427786
16,relu,8,Adadelta,30,0.4956140350877193,0.3481711525189786
16,relu,16,Adadelta,10,0.8114035087719298,0.6477039067854695
16,relu,16,Adadelta,20,0.5526315789473685,0.6530261348005502
16,relu,16,Adadelta,30,0.5657894736842105,0.6497584541062802
16,relu,32,Adadelta,10,0.36403508771929827,0.7128169979437972
16,relu,32,Adadelta,20,0.9780701754385965,0.08872077028885832
16,relu,32,Adadelta,30,0.4605263157894737,0.6759834368530021
16,sigmoid,8,SGD,10,0.7807017543859649,0.9705277587388622
16,sigmoid,8,SGD,20,0.7763157894736842,0.96767537826685
16,sigmoid,8,SGD,30,0.7763157894736842,0.9696342305037957
16,sigmoid,16,SGD,10,0.7631578947368421,0.9684715558601782
16,sigmoid,16,SGD,20,0.7631578947368421,0.968707015130674
16,sigmoid,16,SGD,30,0.7807017543859649,0.968944099378882
16,sigmoid,32,SGD,10,0.7719298245614035,0.9688142563399589
16,sigmoid,32,SGD,20,0.7631578947368421,0.968707015130674
16,sigmoid,32,SGD,30,0.7763157894736842,0.9685990338164251
16,sigmoid,8,Adam,10,0.8245614035087719,0.9677861549006168
16,sigmoid,8,Adam,20,0.8157894736842105,0.968707015130674
16,sigmoid,8,Adam,30,0.7894736842105263,0.968944099378882
16,sigmoid,16,Adam,10,0.8333333333333334,0.9681288553803975
