,neurons,activation,batch_size,optimizer,hops,recall,accuracy
0,16,relu,8,SGD,10,0.0,0.9972583961617546
1,16,relu,8,SGD,20,0.0,0.9972489683631361
2,16,relu,8,SGD,30,0.0,0.9972394755003451
3,16,relu,16,SGD,10,0.0,0.9972583961617546
4,16,relu,16,SGD,20,0.0,0.9972489683631361
5,16,relu,16,SGD,30,0.0,0.9972394755003451
6,16,relu,32,SGD,10,0.0,0.9972583961617546
7,16,relu,32,SGD,20,0.0,0.9972489683631361
8,16,relu,32,SGD,30,0.0,0.9972394755003451
9,16,relu,8,Adam,10,0.125,0.9976010966415353
10,16,relu,8,Adam,20,0.0,0.9972489683631361
11,16,relu,8,Adam,30,0.0,0.9972394755003451
12,16,relu,16,Adam,10,0.0,0.9972583961617546
13,16,relu,16,Adam,20,0.0,0.9972489683631361
14,16,relu,16,Adam,30,0.0,0.9972394755003451
15,16,relu,32,Adam,10,0.0,0.9972583961617546
16,16,relu,32,Adam,20,0.0,0.9972489683631361
17,16,relu,32,Adam,30,0.0,0.9972394755003451
18,16,relu,8,RMSprop,10,0.0,0.9972583961617546
19,16,relu,8,RMSprop,20,0.0,0.9972489683631361
20,16,relu,8,RMSprop,30,0.0,0.9972394755003451
21,16,relu,16,RMSprop,10,0.0,0.9972583961617546
22,16,relu,16,RMSprop,20,0.0,0.9972489683631361
23,16,relu,16,RMSprop,30,0.0,0.9972394755003451
24,16,relu,32,RMSprop,10,0.0,0.9972583961617546
25,16,relu,32,RMSprop,20,0.0,0.9972489683631361
26,16,relu,32,RMSprop,30,0.0,0.9972394755003451
27,16,relu,8,Adadelta,10,1.0,0.01028101439342015
28,16,relu,8,Adadelta,20,0.0,0.9886519944979367
29,16,relu,8,Adadelta,30,0.125,0.8864734299516909
30,16,relu,16,Adadelta,10,0.0,0.845442083618917
31,16,relu,16,Adadelta,20,1.0,0.05261348005502063
32,16,relu,16,Adadelta,30,0.0,0.9285714285714286
33,16,relu,32,Adadelta,10,0.0,0.9712131596984236
34,16,relu,32,Adadelta,20,1.0,0.002751031636863824
35,16,relu,32,Adadelta,30,0.75,0.4344375431331953
36,16,sigmoid,8,SGD,10,0.0,0.9972583961617546
37,16,sigmoid,8,SGD,20,0.0,0.9972489683631361
38,16,sigmoid,8,SGD,30,0.0,0.9972394755003451
39,16,sigmoid,16,SGD,10,0.0,0.9972583961617546
40,16,sigmoid,16,SGD,20,0.0,0.9972489683631361
41,16,sigmoid,16,SGD,30,0.0,0.9972394755003451
42,16,sigmoid,32,SGD,10,0.0,0.9972583961617546
43,16,sigmoid,32,SGD,20,0.0,0.9972489683631361
44,16,sigmoid,32,SGD,30,0.0,0.9972394755003451
45,16,sigmoid,8,Adam,10,0.0,0.9972583961617546
46,16,sigmoid,8,Adam,20,0.0,0.9972489683631361
47,16,sigmoid,8,Adam,30,0.0,0.9972394755003451
48,16,sigmoid,16,Adam,10,0.0,0.9972583961617546
49,16,sigmoid,16,Adam,20,0.0,0.9972489683631361
50,16,sigmoid,16,Adam,30,0.0,0.9972394755003451
51,16,sigmoid,32,Adam,10,0.0,0.9972583961617546
52,16,sigmoid,32,Adam,20,0.0,0.9972489683631361
53,16,sigmoid,32,Adam,30,0.0,0.9972394755003451
54,16,sigmoid,8,RMSprop,10,0.0,0.9972583961617546
55,16,sigmoid,8,RMSprop,20,0.0,0.9972489683631361
