neurons,activation,batch_size,optimizer,recall,accuracy
16,relu,8,SGD,0.923951048951049,0.9742407199100113
16,relu,16,SGD,0.9125874125874126,0.9737907761529809
16,relu,32,SGD,0.9012237762237763,0.9712035995500562
16,relu,8,Adam,0.9440559440559441,0.976490438695163
16,relu,16,Adam,0.9274475524475524,0.9749156355455568
16,relu,32,Adam,0.923951048951049,0.974578177727784
16,relu,8,RMSprop,0.9012237762237763,0.9716535433070866
16,relu,16,RMSprop,0.9073426573426573,0.9716535433070866
16,relu,32,RMSprop,0.9108391608391608,0.971541057367829
16,relu,8,Adadelta,0.006993006993006993,0.7185601799775028
16,relu,16,Adadelta,0.3243006993006993,0.49426321709786275
16,relu,32,Adadelta,0.5812937062937062,0.5959505061867266
16,sigmoid,8,SGD,0.902972027972028,0.9718785151856018
16,sigmoid,16,SGD,0.8968531468531469,0.9727784026996625
16,sigmoid,32,SGD,0.8688811188811189,0.969066366704162
16,sigmoid,8,Adam,0.9326923076923077,0.9737907761529809
16,sigmoid,16,Adam,0.9143356643356644,0.971541057367829
16,sigmoid,32,Adam,0.9300699300699301,0.9724409448818898
16,sigmoid,8,RMSprop,0.9309440559440559,0.9716535433070866
16,sigmoid,16,RMSprop,0.9055944055944056,0.9710911136107987
16,sigmoid,32,RMSprop,0.9073426573426573,0.9718785151856018
16,sigmoid,8,Adadelta,0.9519230769230769,0.20393700787401575
16,sigmoid,16,Adadelta,0.0026223776223776225,0.871541057367829
16,sigmoid,32,Adadelta,0.7071678321678322,0.22238470191226098
16,tanh,8,SGD,0.9178321678321678,0.9731158605174354
16,tanh,16,SGD,0.9012237762237763,0.972103487064117
16,tanh,32,SGD,0.8933566433566433,0.9716535433070866
16,tanh,8,Adam,0.9501748251748252,0.9767154105736783
16,tanh,16,Adam,0.9519230769230769,0.9768278965129359
16,tanh,32,Adam,0.9344405594405595,0.9755905511811024
16,tanh,8,RMSprop,0.902972027972028,0.971541057367829
16,tanh,16,RMSprop,0.9090909090909091,0.9723284589426322
16,tanh,32,RMSprop,0.9204545454545454,0.9718785151856018
16,tanh,8,Adadelta,0.2736013986013986,0.7068616422947132
16,tanh,16,Adadelta,0.38636363636363635,0.4184476940382452
16,tanh,32,Adadelta,0.8286713286713286,0.7860517435320585
32,relu,8,SGD,0.9300699300699301,0.9755905511811024
32,relu,16,SGD,0.9134615384615384,0.9712035995500562
32,relu,32,SGD,0.909965034965035,0.9735658042744657
32,relu,8,Adam,0.9519230769230769,0.9743532058492689
32,relu,16,Adam,0.9405594405594405,0.9758155230596175
32,relu,32,Adam,0.9501748251748252,0.9770528683914511
32,relu,8,RMSprop,0.8968531468531469,0.9725534308211473
32,relu,16,RMSprop,0.9003496503496503,0.9722159730033746
32,relu,32,RMSprop,0.9230769230769231,0.9746906636670416
32,relu,8,Adadelta,0.12412587412587413,0.8407199100112486
32,relu,16,Adadelta,0.6048951048951049,0.38830146231721036
32,relu,32,Adadelta,0.06905594405594405,0.8643419572553431
32,sigmoid,8,SGD,0.8942307692307693,0.9719910011248594
32,sigmoid,16,SGD,0.8933566433566433,0.9727784026996625
32,sigmoid,32,SGD,0.8881118881118881,0.9719910011248594
32,sigmoid,8,Adam,0.958041958041958,0.9760404949381327
32,sigmoid,16,Adam,0.9440559440559441,0.9749156355455568
32,sigmoid,32,Adam,0.9195804195804196,0.972103487064117
32,sigmoid,8,RMSprop,0.9195804195804196,0.9725534308211473
32,sigmoid,16,RMSprop,0.9318181818181818,0.9723284589426322
32,sigmoid,32,RMSprop,0.923951048951049,0.9723284589426322
32,sigmoid,8,Adadelta,0.9493006993006993,0.19437570303712037
32,sigmoid,16,Adadelta,0.6013986013986014,0.6632170978627672
32,sigmoid,32,Adadelta,1.0,0.12890888638920134
32,tanh,8,SGD,0.9143356643356644,0.9749156355455568
32,tanh,16,SGD,0.916958041958042,0.9742407199100113
32,tanh,32,SGD,0.8959790209790209,0.9726659167604049
32,tanh,8,Adam,0.9519230769230769,0.9768278965129359
32,tanh,16,Adam,0.9484265734265734,0.9768278965129359
